등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
0043,00 A 024,백단하,박현기 1942–2000 만다라,미술,도록,2015,190×245,328,500,모조지; 밀레니엄아트,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 가름끈,978-89-6303-098-2,,페도라 프레스,,김명현,국립현대미술관,2015.,,05강경탁과 페도라/페도라-박현기도록20200130
0044,00 A 025,O,서세옥,미술,도록,2015,305×245,276,500,유니트; 마분지; 매직칼라,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드; 가름끈,978-89-6303-113-2,서세옥; 왕신연; 김복기; 김현숙,왕신연,김현수,워크룸,국립현대미술관,2015.12.15.,,02워크룸1층/2015/서세옥
0045,00 A 026,유윤석,오픈스튜디오 10,미술,도록,2015,118×172,24,1000,미스틱,오프셋 인쇄,중철 제본,,,류지연,,프랙티스,국립현대미술관,2015.02.06.,,04프랙티스/프랙티스-고양레지던시20150129
0046,00 A 027,국현,조성묵: 멋의 맛,미술,도록,2015,225×280,312,600,엔젤클로스; 모조지; 아트지,오프셋 인쇄,사철 제본; 각양장,978-89-6303-122-4,조성묵,페도라 프레스,명이식; 조영하,강경탁,국립현대미술관,2015.12.01.,,05강경탁과 페도라/2016/국립현대미술관 조성묵 도록
0047,00 A 028,O,안규철: 안 보이는 사랑의 나라,미술,도록,2016,250×320,174,1000,문켄 폴라; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 각양장; 삽지,978-89-6303-124-8,안규철,조혜영,이의록,김형진,국립현대미술관,2016.04.30.,,03워크룸2층/2016/05안규철 도록
0048,00 A 029,국현,올해의 작가상 2017,미술,도록,2017,185×260,200,800,메리트; 문켄 폴라; 매직칼라,오프셋 인쇄; 표지에 박,무선 제본; 날개,978-89-6303-161-3,써니킴; 박경근; 백현진; 송상희,도화진,카스카; 박경근; 서종현; 홍철기,워크룸,국립현대미술관,2017.09.13.,SBS문화재단,02워크룸1층/2017/올해의 작가상
0049,00 A 030,O,올해의 작가상 2024,미술,도록,2024,210×300,280,100,화일지; 모조지,오프셋 인쇄,무선 제본,,김소연; 김소영; 김정현; 김지연; 이임수; 이주연; 이진실; 조주현; 추스 마르티네스,김인혜; 이주현; 장래주; 심정은,CJY Art Studio,신신,국립현대미술관,,삼원제지,00/2024년 12월작업진행/신신-올해의 작가상 도록20241220
0050,00 A 031,O,올해의 작가상 2024,미술,도록,2024,210×300,280,100,화일지; 모조지,오프셋 인쇄,무선 제본,,권하윤; 양정욱; 윤지영; 제인 진 카이젠; 김소현; 김소영; 김정현; 김지안; 이임수; 이주연; 이진실; 조주현; 추스 마르티네스,김인혜; 임대근; 박수진; 이주연; 장래주; 심정은; 임나영; 최혜미,조준용,신신,국립현대미술관,,삼원제지,00/2024년 10월작업진행/신신-올해의작가상 도록 1차20241018
0051,00 A 032,O,올해의 작가상 2025,미술,도록,2025,210×290,232,1000,마제스틱; 모조지; 아티젠,오프셋 인쇄; 표지에 박,노출 사철 제본; 부착 표지,978-89-6303-455-3,김해주; 김홍기; 마사 조셉; 베라 메이; 우현정; 윤원화; 이계성; 임영주; 카를로스 키혼 주니어; 케이시 메시하; 한윤아,우현정; 장래주; 윤솔희; 임나영; 박윤영; 최혜미,홍철기; 카스카,6699프레스,국립현대미술관,2025.11.28.,,00/2025년 11월작업진행/6699프레스-올해의작가상20251110
0052,00 A 033,국현,균열,미술,도록,2017,185×250,192,500,비세븐; 앤틱블랙; 매직칼라,오프셋 인쇄; 표지에 실크스크린,무선 제본; 날개,978-89-6303-154-5,,임대근; 이추영; 박혜성,장준호; 임용현,워크룸,국립현대미술관,2017.06.30.,,02워크룸1층/2017/균열
0053,00 A 034,국현,불확정성의 원리,미술,도록,2017,200×250,192,,,오프셋 인쇄; 표지에 박,,978-89-6303-160-6,,김은희; 박덕선,이미지줌; 전병철,오디너리피플,국립현대미술관,2017.09.21.,,01거래처/오디너리피플/오디너리피플-불확정성의원리20171010
0054,00 A 035,백단하,신여성 도착하다,미술,도록,2017,180×240,304,,써밋; 몽블랑,오프셋 인쇄; 별색 인쇄; 표지에 형압,PUR 제본; 오타바인딩; 날개,978-89-6303-171-2,강민기; 강승완; 권행가; 김소영; 김수진; 남은혜; 노유니아; 박혜성; 배연경; 서유리; 장유정; 최열,임초롱; 현오아,,김성구,국립현대미술관,2017.12.20.,TV조선; 한솔제지,김성구/김성구-국립현대미술관 덕수궁관 도록20171213
0055,00 A 036,국현,예술이 자유가 될 때: 이집트 초현실주의자들(1938~1965),미술,도록,2017,140×200,256,500,몽블랑,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 에폭시,무선 제본; 날개,978-89-6303-151-4,,,,일상의실천,국립현대미술관,2017.04.28.,,01거래처/국립현대미술관/국립현대미술관-예술이자유가될때20170501
0056,00 A 037,O,MMCA 현대차 시리즈 2018: 최정화—꽃·숲,미술,도록,2018,170×240,560,1000,스페셜리티즈; 미라클,오프셋 인쇄; 표지에 박,사철 제본; 각양장,978-89-6303-205-4,최정화; 민병직,,,낮인사,국립현대미술관,2018.01.01.,,포뮬러/낮인사-현대차시리즈20190321
0057,00 A 038,O,윤형근,미술,도록,2018,245×315,184,700,스노우지; 탄트셀렉트; 탑코트매트,오프셋 인쇄; 표지에 라미네이팅,사철 제본,978-89-6303-186-6,,지원,,ed by,국립현대미술관,2018.08.04.,,02워크룸1층/2018/윤형근 도록
0058,00 A 039,O,이성자: 지구 반대편으로 가는 길,미술,도록,2018,225×270,272,700,아트지; 탄트셀렉트; 매직칼라; 아르떼,오프셋 인쇄; 표지에 라미네이팅,사철 제본; 각양장; 자켓,978-89-6303-177-4,,박미화,,워크룸,국립현대미술관,2018.,,02워크룸1층/2018/국립현대미술관 이성자 도록 제작용
0059,00 A 040,국현,광장: 미술과 사회 1900–2019 — 1부 1900–1950,미술,도록,2019,220×270,288,500,매그; 미라클,오프셋 인쇄,노출 사철 제본,978-89-6303-220-7,김미영; 김인혜; 김현숙; 박미화; 최열; 홍지석,김인혜; 김상은; 박영신,황정욱; 명이식,워크룸,국립현대미술관,2019.11.12.,,02워크룸1층/2019/광장 덕수궁
0060,00 A 041,국현,광장: 미술과 사회 1900–2019,미술,도록,2019,180×240,440,2700,인스퍼 러프; 매직칼라,오프셋 인쇄; 표지에 박,무선 제본; 날개,979-11-967771-1-1,김미영; 김인혜; 김현숙; 최열; 홍지석; 권보드래; 강수정; 김원; 김학량; 신정훈; 윤소림; 이현주; 정다영; 성용희; 양효실; 이경미; 이사빈; 임근혜,이정화,,보스토크프레스,국립현대미술관진흥재단,2019.10.16.,한솔제지,보스토크프레스/보스토크프레스-국현 광장도록20191002
0061,00 A 042,국현,국립현대미술관 레지던시 2019,미술,도록,2019,190×250,264,800,아트지; 인스퍼 러프,오프셋 인쇄; 표지에 라미네이팅; 표지에 박; 표지에 바니시 코팅,무선 제본,,,,,개미그래픽스,국립현대미술관,2019.,,
0062,00 A 043,김은지,국립현대미술관 레지던시 2021,미술,도록,2022,190×250,280,700,아티젠,오프셋 인쇄; 별색 인쇄; 표지에 코팅,무선 제본,978-89-6303-318-1,,김남인,김용선; 노경; 최연근,개미그래픽스,국립현대미술관,2022.06.24.,,01거래처/ant graphics(김은지)/ant graphics-MMCA레지던시20220622
0063,00 A 044,O,국립현대미술관 레지던시 2022,미술,도록,2023,380×250,400,,,,,,,,서종현; 장준호; 채드박; 최연근,유명상,국립현대미술관,2023.07.21.,,유명상/유명상-국립현대 레지던시(MMCA)20230719
0064,00 A 045,O,젊은 모색 2019: 액체 유리 바다,미술,도록,2019,175×250,228,,,,,,김정현; 맹지영; 배은아; 심소미; 안소연; 안소현; 이한범; 장혜정; 정은영; 최희승,최희승,,맛깔손,국립현대미술관,2019.07.31.,,01거래처/MHTL(최희은)/최희은-국립현대 젊은모색 도록20190810
0065,00 A 046,O,"젊은 모색 2025: 지금, 여기",미술,도록,2025,175×240,352,,CCP; 아티젠; 네오스타,,,978-89-6303-451-5,,김윤옥; 장래주,조준용,김영삼,국립현대미술관,2025.08.29.,무림페이퍼,00/2025년 08월작업진행/국립현대미술관-2025젊은 모색20250919
0066,00 A 047,국현,근대미술가의 재발견 1: 절필시대,미술,도록,2019,188×250,384,1000,티엠보스; 비비칼라; 미라클,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 각양장,978-89-6303-214-6,,김예진,한정엽; 장준호; 김진현,워크룸,국립현대미술관,2019.05.27.,,02워크룸1층/2019/국현 덕수궁 근대미술가의 재발견 도록
0067,,,나는 내일 사라질 거예요,미술,도록,2019,148×210,40,300,모조지; 아트지,오프셋 인쇄; 표지에 형압,무선 제본,,박지혜; 고사리; 김정모; 이원우,,모스튜디오,옥탑방 미트볼,국립현대미술관,2019.11.,국립현대미술관,010개인작업자/고양레지던시-박지혜 전시도록20191022
0068,00 A 048,국현,당신을 위하여: 제니 홀저,미술,도록,2019,250×252,144,1500,씨알룩스; 비비칼라; 유니트; 매그,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 둥근양장; 헤드밴드; 가름끈,978-89-6303-235-1,이광호; 정연심,이현주,,워크룸,국립현대미술관,2019.11.23.,,02워크룸1층/2020/제니 홀저 도록
0069,00 A 049,O,불온한 데이터,미술,도록,2019,170×250,304,1000,씨알룩스; 비비칼라; 바르니,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 둥근양장,978-89-6303-208-5,마테오 파스퀴넬리; 마틴 자일링거; 박덕선; 웬디 후이 경 춘; 자크 블라스; 히토 슈타이얼,박덕선; 박은지; 현오아,,워크룸,국립현대미술관,2019.04.17.,,02워크룸1층/2019/국현 불온한 데이터 도록
0070,00 A 050,이경수,세상에 눈뜨다: 아시아 미술과 사회 1960s–1990s,미술,도록,2019,220×268,328,550,CCP; 비비칼라; 미라클; 그문드 컬러매트,오프셋 인쇄; 별색 인쇄,사철 제본; 날개; 오리꼬미,978-89-6303-202-3,,국립현대미술관; 도쿄국립근대미술관; 싱가포르국립미술관,,워크룸,국립현대미술관,2019.01.28.,,02워크룸1층/2019/국현 과천관 세상에 눈뜨다 도록
0071,00 A 051,O,현대 회화의 모험: 나는 나대로 혼자서 간다,미술,도록,2019,187×258,320,,모조지; 미라클,오프셋 인쇄; 표지에 박,사철 제본; 각양장,978-89-6303-221-4,이추영; 남웅; 반이정; 성원선; 이은주; 정수윤; 정현; 현시원,페도라 프레스,이미지줌,강경탁,국립현대미술관,2019.11.25.,,05강경탁과 페도라/페도라프레스-현대 회화의 모험 도록(국현청주관)20191115
0072,00 A 052,국현,Unflattening,미술,도록,2020,188×250,200,500,비비칼라; 미라클,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 오리꼬미,978-89-6303-257-3,알렉산드라 토렌스; 조은정; 최종철; 전갑생; 이정실; 서동진; 박명림; 문아영; 최태만; 이수정,권태현; 장서윤,,워크룸,국립현대미술관,2020.12.20.,,02워크룸1층/2021/낯선 전쟁 영문 도록
0073,00 A 053,국현,낯선 전쟁,미술,도록,2020,188×250,240,700,씨알룩스; 매직칼라; 인스퍼 러프,오프셋 인쇄; 표지에 박,사철 제본; 둥근양장,978-89-6303-240-5,문아영; 박명림; 서동진; 이수정; 전갑생; 조은정; 최종철; 최태만; 알렉산드라 토렌스,권태현; 장서윤,,워크룸,국립현대미술관,2020.06.25.,,02워크룸1층/2020/낯선 전쟁 도록
0074,00 A 054,O,또 다른 가족을 찾아서,미술,도록,2020,210×285,288,500,아이리스샌드그레이; 매직칼라; 인스퍼 러프,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 표지에 박,사철 제본; 각양장,978-89-6303-244-3,이강승; 듀킴; 탄디아 페르마디; 정유경; 니 하오; 레스박; 아츠시 와타나베; 아이작 충 와이; 사우스 호 시우 남; 에이사 족슨; 왕 투오; 98B 콜라보레이터리+허브 메이크 랩+칸티나; 자티왕이 아트 팩토리+버드나무가게; 이 이란; 페미니스트 디자이너 소셜 클럽,박주원; 김지원,이재범; 이세윤,개미그래픽스,국립현대미술관,2020.08.23.,,01거래처/ant graphics(김은지)/ant graphics(김은지)-국립현대미술관 MMCA 아시아 기획전 도록20200819
